100,78.28018
100,77.43787
100,77.86725
100,88.00477
100,92.17666
100,89.91315
100,89.81924
100,91.5472
100,80.4158
100,83.73273
100,90.33187
100,73.74858
100,79.95498
100,73.34704
100,90.03775
100,85.74699
100,94.45848
100,75.3738
100,93.64539
100,77.11456
130,112.3468
130,106.2749
130,100.2737
130,99.57859
130,111.5597
130,99.09095
130,112.7213
130,112.7023
130,117.8623
130,104.8988
130,117.8206
130,100.4265
130,101.026
130,111.7197
130,112.2853
130,119.2685
130,118.2325
130,114.0398
130,115.8196
130,113.2173
130,119.0225
