100,29.6046
100,35.74756
100,36.32688
100,31.27548
100,37.69573
100,37.08281
100,32.53614
100,28.57299
100,29.69085
100,36.37897
100,33.72163
100,28.25285
100,32.00393
100,32.58745
100,32.64513
100,28.01986
100,35.41838
100,34.17734
100,32.31927
100,30.59818
120,65.21129
120,37.79094
120,41.32048
120,39.68524
120,55.56429
120,39.42568
120,45.31438
120,61.07542
120,65.24904
120,37.40892
120,63.54915
120,65.9944
120,51.98462
120,38.27255
120,50.21026
120,36.46693
120,46.65309
120,49.92922
120,53.04383
120,65.31892
120,40.70893
90,28.33579
90,31.16667
90,26.65015
90,31.86654
90,27.77983
90,30.85197
90,32.04067
90,27.69504
90,29.71639
90,26.05436
90,29.43554
90,28.09787
90,32.46693
90,31.71779
90,30.76139
